customer_id,city,subscription_status,payment_mode
1000,Delhi,Yes,Card
1001,Delhi,Yes,COD
1002,Delhi,Yes,Card
1003,Delhi,No,UPI
1004,Delhi,No,Card
1005,Bangalore,No,Card
1006,Mumbai,No,UPI
1007,Mumbai,Yes,UPI
1008,Mumbai,Yes,COD
1009,Delhi,Yes,Card
1010,Mumbai,Yes,Card
1011,Delhi,Yes,UPI
1012,Delhi,Yes,UPI
1013,Delhi,No,COD
1014,Mumbai,No,UPI
1015,Chennai,No,Card
1016,Mumbai,Yes,UPI
1017,Mumbai,Yes,UPI
1018,Hyderabad,Yes,UPI
1019,Bangalore,No,UPI
1020,Mumbai,Yes,Card
1021,Delhi,Yes,COD
1022,Delhi,No,COD
1023,Delhi,No,Card
1024,Hyderabad,Yes,COD
1025,Chennai,Yes,Card
1026,Bangalore,Yes,COD
1027,Hyderabad,Yes,UPI
1028,Bangalore,Yes,UPI
1029,Bangalore,No,COD
1030,Hyderabad,Yes,Card
1031,Bangalore,Yes,UPI
1032,Mumbai,Yes,Card
1033,Chennai,Yes,UPI
1034,Delhi,Yes,UPI
1035,Hyderabad,Yes,Card
1036,Bangalore,Yes,COD
1037,Delhi,No,UPI
1038,Delhi,No,UPI
1039,Bangalore,Yes,UPI
1040,Delhi,Yes,UPI
1041,Hyderabad,Yes,UPI
1042,Bangalore,Yes,Card
1043,Hyderabad,Yes,Card
1044,Chennai,Yes,UPI
1045,Mumbai,No,Card
1046,Delhi,Yes,Card
1047,Bangalore,Yes,Card
1048,Hyderabad,No,COD
1049,Delhi,Yes,UPI
1050,Bangalore,Yes,UPI
1051,Bangalore,Yes,UPI
1052,Delhi,No,Card
1053,Mumbai,Yes,Card
1054,Mumbai,No,UPI
1055,Delhi,Yes,COD
1056,Delhi,No,COD
1057,Bangalore,No,Card
1058,Mumbai,Yes,Card
1059,Bangalore,No,Card
1060,Chennai,Yes,Card
1061,Delhi,Yes,UPI
1062,Delhi,Yes,UPI
1063,Delhi,Yes,UPI
1064,Delhi,No,UPI
1065,Mumbai,Yes,Card
1066,Bangalore,Yes,UPI
1067,Mumbai,Yes,UPI
1068,Bangalore,No,COD
1069,Hyderabad,No,Card
1070,Hyderabad,Yes,COD
1071,Delhi,Yes,UPI
1072,Delhi,Yes,UPI
1073,Mumbai,Yes,Card
1074,Mumbai,Yes,COD
1075,Chennai,No,COD
1076,Bangalore,Yes,COD
1077,Delhi,No,Card
1078,Hyderabad,Yes,COD
1079,Bangalore,Yes,UPI
1080,Chennai,Yes,UPI
1081,Chennai,Yes,COD
1082,Delhi,Yes,UPI
1083,Delhi,Yes,UPI
1084,Bangalore,No,COD
1085,Bangalore,No,UPI
1086,Hyderabad,Yes,COD
1087,Hyderabad,Yes,COD
1088,Bangalore,Yes,Card
1089,Mumbai,Yes,Card
1090,Mumbai,No,UPI
1091,Delhi,Yes,COD
1092,Mumbai,No,Card
1093,Chennai,No,UPI
1094,Hyderabad,Yes,UPI
1095,Chennai,No,Card
1096,Delhi,Yes,UPI
1097,Delhi,No,UPI
1098,Bangalore,Yes,UPI
1099,Chennai,No,UPI
1100,Hyderabad,No,UPI
1101,Chennai,No,UPI
1102,Chennai,No,UPI
1103,Hyderabad,Yes,UPI
1104,Delhi,No,UPI
1105,Delhi,No,UPI
1106,Chennai,No,COD
1107,Bangalore,Yes,Card
1108,Hyderabad,Yes,Card
1109,Bangalore,Yes,UPI
1110,Hyderabad,Yes,UPI
1111,Bangalore,No,UPI
1112,Hyderabad,No,Card
1113,Mumbai,Yes,Card
1114,Delhi,No,UPI
1115,Delhi,Yes,UPI
1116,Delhi,Yes,COD
1117,Hyderabad,Yes,UPI
1118,Hyderabad,No,Card
1119,Delhi,Yes,UPI
1120,Delhi,No,COD
1121,Hyderabad,Yes,Card
1122,Delhi,Yes,UPI
1123,Mumbai,Yes,COD
1124,Chennai,Yes,UPI
1125,Delhi,No,UPI
1126,Delhi,No,UPI
1127,Mumbai,No,UPI
1128,Chennai,No,UPI
1129,Mumbai,Yes,UPI
1130,Bangalore,Yes,UPI
1131,Bangalore,Yes,UPI
1132,Bangalore,Yes,COD
1133,Mumbai,No,UPI
1134,Chennai,Yes,Card
1135,Delhi,No,UPI
1136,Bangalore,Yes,UPI
1137,Chennai,No,Card
1138,Mumbai,Yes,COD
1139,Delhi,No,Card
1140,Mumbai,Yes,UPI
1141,Mumbai,No,UPI
1142,Delhi,Yes,COD
1143,Delhi,Yes,UPI
1144,Mumbai,Yes,UPI
1145,Bangalore,No,COD
1146,Chennai,Yes,Card
1147,Chennai,No,COD
1148,Mumbai,No,Card
1149,Bangalore,Yes,COD
1150,Mumbai,Yes,UPI
1151,Hyderabad,No,UPI
1152,Bangalore,Yes,UPI
1153,Hyderabad,Yes,UPI
1154,Chennai,Yes,Card
1155,Delhi,Yes,Card
1156,Chennai,No,COD
1157,Delhi,No,Card
1158,Delhi,Yes,UPI
1159,Delhi,Yes,Card
1160,Bangalore,Yes,UPI
1161,Chennai,Yes,UPI
1162,Bangalore,Yes,Card
1163,Chennai,No,UPI
1164,Bangalore,No,COD
1165,Mumbai,No,UPI
1166,Chennai,Yes,COD
1167,Mumbai,No,UPI
1168,Bangalore,Yes,UPI
1169,Chennai,Yes,UPI
1170,Delhi,Yes,COD
1171,Delhi,Yes,UPI
1172,Hyderabad,No,UPI
1173,Chennai,No,Card
1174,Bangalore,Yes,COD
1175,Chennai,No,COD
1176,Bangalore,No,Card
1177,Bangalore,Yes,UPI
1178,Delhi,No,Card
1179,Bangalore,No,UPI
1180,Chennai,Yes,Card
1181,Delhi,No,UPI
1182,Delhi,Yes,UPI
1183,Delhi,Yes,UPI
1184,Hyderabad,No,COD
1185,Delhi,Yes,COD
1186,Bangalore,No,UPI
1187,Bangalore,No,Card
1188,Chennai,Yes,UPI
1189,Mumbai,Yes,Card
1190,Bangalore,No,UPI
1191,Mumbai,Yes,Card
1192,Bangalore,No,Card
1193,Bangalore,No,UPI
